Symbol,Exchange,MarketCap,Price,AvgVol90d,Sector
SSNC,NASDAQ,15755361812,65.42,2649618.3,Technology services
SSYS,NASDAQ,768659051.9999999,8.92,978807.4,Electronic technology
STRA,NASDAQ,1703430357,75.33,302887.27777777775,Consumer services
STVN,NYSE,4788485089,17.54,536283.8888888889,Health technology
SW,NYSE,23109100643.000004,44.2,5940453.322222223,Process industries
TBBK,NASDAQ,2338606282.0000005,56.17,489229.36666666664,Finance
TCBI,NASDAQ,4326479674,99.07,477071.2888888889,Finance
TFIN,NYSE,1715716678,72.07,252804.92222222223,Finance
TIMB,NYSE,9886506128.870798,20.72,399461.72222222225,Communications
TMHC,NYSE,6584736508,71.58,2179921.3666666667,Consumer durables
TPG,NASDAQ,16160333590.000002,42.05,3255850.488888889,Finance
TRMK,NASDAQ,2617909590.0000005,44.67,405348.5777777778,Finance
TRN,NYSE,2740554709,34.47,700437.6666666666,Producer manufacturing
TSLX,NYSE,1578275613,16.61,978522.8888888889,Miscellaneous
TTD,NASDAQ,8701712614,18.51,20854642.37777778,Technology services
TV,NYSE,1441332556.25,2.99,1326846.388888889,Communications
UDR,NYSE,12203832238.000002,37.56,4203839.644444444,Finance
URGN,NASDAQ,1635587413,33.57,813830.6222222223,Health technology
VIA,NYSE,1243013806,15.29,799431.9222222222,Technology services
VICI,NYSE,28094113112,26.28,8748463.322222222,Finance
WD,NYSE,1783851283,51.96,361553.4555555555,Finance
WEN,NASDAQ,1295268365,6.8,9999698.677777778,Consumer services
WIW,NYSE,515781120,8.43,248545.16666666666,Miscellaneous
WMB,NYSE,89425638397.99998,73.12,6597019.911111111,Industrial services
WRBY,NYSE,3185687300.0000005,25.96,3216972.577777778,Retail trade
WTRG,NYSE,10409330035,36.7,2345954.966666667,Utilities
WWW,NYSE,1443015936.9999998,17.6,1163466.1444444444,Consumer non-durables
XEL,NASDAQ,48324711425,77.41,5191099.8,Utilities
YSS,NYSE,3994589208,30.8,2013131.6555555556,Electronic technology
ZG,NASDAQ,7362922797.999999,32.49,1249235.7777777778,Technology services
