nr,tf,bar_start_dk,bar_start_et,close,atr,vwap,vwap_dist_atr,z,adx,cmf,rvol,rsi,stoch_k,wt1,wt2,wt_diff,macd_line,macd_hist,dot_type
5,5m,2025-05-20 21:55:00+02:00,2025-05-20 15:55:00-04:00,5959.5,6.898944293367697,5958.00737119408,0.21635611804468885,1.0686267244498238,26.825324335543677,0.08924093945533314,1.5485923594493014,61.02223266967459,94.2002471754012,38.60968065163352,27.4916700343596,11.118010617273917,-0.31653355824164464,2.4778113201726844,ingen
6,5m,2025-08-11 15:25:00+02:00,2025-08-11 09:25:00-04:00,6416.25,2.547677894313167,6420.410358570178,-1.6330002232481498,-1.6371163057091531,28.639470152377104,-0.02679238131742758,3.605839416058394,35.107453709323806,15.422261371393168,-46.27673025644644,-42.83995273530373,-3.4367775211427087,-1.293806760073494,-0.43807927296500204,udvandet_roed
7,5m,2025-10-28 21:10:00+01:00,2025-10-28 16:10:00-04:00,6924.0,3.9136557484206533,6919.650212070548,1.111438565133685,-1.9712728020575094,34.564265986964394,-0.10888409572886576,0.2935445975760007,36.53923488236538,3.85248535471572,-46.609215126472684,-41.262361492808644,-5.34685363366404,-1.4987947270392397,-2.0229292975382944,ingen
8,5m,2026-01-20 21:25:00+01:00,2026-01-20 15:25:00-05:00,6830.25,7.009954292493594,6873.701701899222,-6.198571358125816,-1.0456032596048712,43.39099878534417,-0.15780083042141366,0.9452044982451114,36.123696722839554,91.47962143575946,-51.724299956481296,-52.55476616230277,0.8304662058214731,-7.9519877483671735,0.7613174519855388,udvandet_groen
9,5m,2026-04-10 19:55:00+02:00,2026-04-10 13:55:00-04:00,6856.75,4.80267218461504,6865.191785418638,-1.7577267600483373,0.06053384106506873,29.109267885612145,0.15357510131765548,0.5007791770205955,50.13525170369497,98.1846390518706,11.793143260165133,-2.4800365761718512,14.273179836336984,-2.290511149742997,1.195372847645468,ingen
10,5m,2026-06-30 21:55:00+02:00,2026-06-30 15:55:00-04:00,7544.75,5.4084333380843255,7527.6262795003,3.1661147377227126,-2.6708569519369623,29.96412980296755,-0.34808624451644427,9.913210487217118,34.86686748465766,12.883220953247623,-23.09030367433301,-7.375168754813011,-15.71513491952,0.3992027154263269,-1.5899119156256483,ingen
1,3m,2024-06-28 16:12:00+02:00,2024-06-28 10:12:00-04:00,5584.0,3.9757475608743196,5563.256742085989,5.217448441180611,2.5206356515554598,37.23963245574487,0.44066541100811607,1.2395499488578248,81.05238953633682,100.0,80.50618443171308,79.10067614937077,1.4055082823423106,5.653681284786217,3.080137101998626,ingen
2,3m,2024-09-17 20:42:00+02:00,2024-09-17 14:42:00-04:00,5636.5,4.622490626837701,5650.343269376992,-2.994764185484617,0.3907063744862271,24.541743157110634,0.27021469246294966,0.6100926473487088,50.609975572359275,35.871640678945525,7.857002983182824,3.3971147942435533,4.459888188939271,0.052001762875079294,0.13579775426895005,ingen
3,3m,2024-12-06 15:12:00+01:00,2024-12-06 09:12:00-05:00,6099.0,2.87096940288078,6088.328038925085,3.717197774454392,1.4042279221037959,27.572633101411753,0.16502815276596697,0.48093007694881235,65.71119138275577,39.12509253684377,51.036436284384195,48.09153886211055,2.944897422273641,3.294023640051819,0.26081227736926094,ingen
4,3m,2025-02-28 19:12:00+01:00,2025-02-28 13:12:00-05:00,5864.75,8.180050364087322,5886.745940131119,-2.688973680123922,-1.4183791938468768,40.35930643429424,-0.09586526575200975,0.5325431103775707,37.944843948435754,45.04357386606413,-63.34313928826392,-66.66068787962426,3.3175485913603424,-8.91407087150128,-1.4111394362793401,ingen
5,3m,2025-05-20 21:57:00+02:00,2025-05-20 15:57:00-04:00,5959.5,5.201563954155219,5957.991599750809,0.2899897535598468,2.2574732518852283,28.213783014174943,0.25804681867579,1.8801286218832916,66.83601785949642,100.0,62.132280492473484,54.53184734624865,7.600433146224837,2.485138991058193,1.849925488640485,ingen
6,3m,2025-08-11 15:27:00+02:00,2025-08-11 09:27:00-04:00,6416.25,2.2877622386986403,6420.34579006762,-1.7903040789545324,-1.0524282287439222,40.811076407670946,-0.07820743330453007,3.464673207703888,41.87407077947438,69.25056626440737,-33.45168432176438,-26.168057060656462,-7.28362726110792,-1.2101054398399356,0.08178575430654766,ingen
7,3m,2025-10-28 21:12:00+01:00,2025-10-28 16:12:00-04:00,6924.0,3.435611801163435,6919.612569493496,1.2770448934358576,-1.5645759254911211,34.84441368887977,-0.17199114448512634,0.26724325964702644,35.40625900149797,9.66816464546516,-52.66683801419359,-53.31336320190682,0.6465251877132303,-3.1306379693514828,-1.0668647537801812,kraftig_groen
8,3m,2026-01-20 21:27:00+01:00,2026-01-20 15:27:00-05:00,6830.25,5.348485550131277,6873.669102555535,-8.118018109718733,-0.9713339440210768,35.57622032244293,-0.012898192342218109,1.1196295175054616,40.620954892262006,83.12353561353412,-48.63843054523245,-57.9655639994124,9.32713345417995,-4.1102879257541645,0.5446701077592548,alm_groen
